X,Y,InitialLatitude,InitialLongitude,POOState
-116.643511855,33.3080048580001,33.34862,-116.7438,US-CA
-117.784782111,34.071844884,34.07184,-117.78477,US-CA
-118.41153224,34.353004879,34.353,-118.41152,US-CA
-118.137832224,34.7039149340001,34.70391,-118.13782,US-CA
-121.688713017,36.99273793,36.992733,-121.6887,US-CA
-121.979696073,37.097787919,37.097783,-121.979683,US-CA
-118.064162156,34.0406348650001,34.04063,-118.06415,US-CA
-121.202009205,39.2108931550001,39.210888,-121.201996,US-CA
-118.136922223,34.688674932,34.68867,-118.13691,US-CA
-118.147702222,34.6550349280001,34.65503,-118.14769,US-CA
-119.457030658,36.9301670780001,36.930162,-119.457018,US-CA
-122.397563562,40.4808551580001,40.48085,-122.39755,US-CA
-118.092862159,34.01358486,34.01358,-118.09285,US-CA
-118.427312509,37.13994517,37.12467,-118.4295,US-CA
-118.176812166,33.9344448470001,33.93444,-118.1768,US-CA
-117.038611937,33.4899408590001,33.489936,-117.0386,US-CA
-118.734812318,34.634374891,34.63437,-118.7348,US-CA
-118.431829537,37.386938194,37.386933,-118.431817,US-CA
-117.828912123,34.121094887,34.12109,-117.8289,US-CA
-122.071003081,37.046252908,37.046248,-122.07099,US-CA
-118.209972171,33.9251148440001,33.92511,-118.20996,US-CA
-119.82777278,37.502059107,37.502054,-119.82776,US-CA
-119.521981704,37.256612105,37.256607,-119.521969,US-CA
-118.178152166,33.9308048460001,33.9308,-118.17814,US-CA
-117.020911983,34.102674931,34.10248,-116.9999,US-CA
-122.605915392,38.9985530280001,38.998548,-122.605902,US-CA
-118.795412339,34.7545149000001,34.75451,-118.7954,US-CA
-120.67303306,38.7276251550001,38.72762,-120.67302,US-CA
-117.209312945,33.203405816,33.203401,-117.209301,US-CA
-119.225012369,34.288893725,,,US-CA
-122.157513094,37.0474771020001,,,US-CA
-118.343912194,33.930194837,33.93019,-118.3439,US-CA
-117.741622103,34.0647048860001,34.0647,-117.74161,US-CA
-123.065913703,40.760125122,40.76008,-123.0658,US-CA
-117.907592136,34.1207548830001,34.12075,-117.90758,US-CA
-117.204012062,34.666834985,34.70158,-117.2055,US-CA
-118.094082206,34.5797449230001,34.57974,-118.09407,US-CA
-118.104782152,33.9020748470001,33.90207,-118.10477,US-CA
-118.220222167,33.8466448350001,33.84664,-118.22021,US-CA
-115.691611641,32.686324832,32.68632,-115.6916,US-CA
-118.474472258,34.4332548840001,34.43325,-118.47446,US-CA
-117.976012332,36.1595050990001,34.69509,-117.4514,US-CA
-118.180232228,34.6602749260001,34.66027,-118.18022,US-CA
-124.050363814,40.539022023,40.539017,-124.05035,US-CA
-118.17021224,34.8204749440001,34.82047,-118.1702,US-CA
-123.706124946,41.086393989,,,US-CA
-118.367792198,33.923944835,33.92394,-118.36778,US-CA
-120.846013058,38.4855341210001,38.485529,-120.846,US-CA
-120.87321316,39.264925185,39.26595,-120.8609,US-CA
-118.333622192,33.924794837,33.93019,-118.3439,US-CA
-118.049202203,34.6313849310001,34.63138,-118.04919,US-CA
-120.547402012,38.4975071440001,38.497502,-120.547389,US-CA
-118.183052165,33.9011648430001,33.90116,-118.18304,US-CA
-123.781313645,39.6136219810001,39.613617,-123.7813,US-CA
-118.403112233,34.2852248720001,34.28522,-118.4031,US-CA
-118.237482181,33.9891748490001,33.98917,-118.23747,US-CA
-118.541952262,34.350264872,34.35026,-118.54194,US-CA
-118.097092207,34.5796149220001,34.57961,-118.09708,US-CA
-118.757234751,36.806394003,,,US-CA
-118.097162156,33.968644855,33.96864,-118.09715,US-CA
-118.742902269,34.0329648260001,34.03296,-118.74289,US-CA
-116.739111836,32.8317047960001,32.8317,-116.7391,US-CA
-117.359646007,33.681530863,33.681526,-117.359634,US-CA
-118.369512201,33.9616048390001,33.95361,-118.3695,US-CA
-117.907592136,34.1207548830001,34.12075,-117.90758,US-CA
-118.088652214,34.6823049340001,34.6823,-118.08864,US-CA
-115.481811765,34.7616450960001,34.76164,-115.4818,US-CA
-118.237482181,33.9891748490001,33.98917,-118.23747,US-CA
-119.787715774,37.5047201100001,37.504715,-119.787703,US-CA
-118.136712223,34.696524933,34.69811,-118.13499,US-CA
-118.254129439,36.7549881420001,36.754983,-118.254117,US-CA
-116.887332867,32.900308797,32.900304,-116.887321,US-CA
-116.961245001,34.4434879730001,34.443483,-116.961233,US-CA
-118.263512173,33.8393248310001,33.83932,-118.2635,US-CA
-121.433352486,40.9783292770001,40.978324,-121.433339,US-CA
-120.716372694,35.269900835,35.269896,-120.71636,US-CA
-118.169702228,34.68933493,34.68933,-118.16969,US-CA
-118.098992215,34.6677649320001,34.66776,-118.09898,US-CA
-118.099482164,34.0698748660001,34.06987,-118.09947,US-CA
-118.149392168,34.011724857,34.01172,-118.14938,US-CA
-118.169702228,34.68933493,34.68933,-118.16969,US-CA
-118.169012168,33.9643748500001,33.96437,-118.169,US-CA
-123.646813824,40.999005089,41,-123.6457,US-CA
-117.971252136,33.9860848640001,33.98608,-117.97124,US-CA
-118.083412153,33.9672348560001,33.96668,-118.08892,US-CA
-118.790012286,34.1533748360001,34.15324,-118.78992,US-CA
-121.07653987,36.4900759270001,36.490071,-121.076527,US-CA
-118.158522171,34.0333848590001,34.03338,-118.15851,US-CA
-118.098452207,34.579604922,34.5796,-118.09844,US-CA
-119.009734579,34.808615993,,,US-CA
-118.53314227,34.4633348840001,34.46333,-118.53313,US-CA
-119.81712778,37.5137031090001,37.513698,-119.817115,US-CA
-119.786922753,37.317141092,37.317136,-119.78691,US-CA
-116.87411686,32.8387677900001,32.838763,-116.874105,US-CA
-118.143402222,34.667604929,34.6676,-118.14339,US-CA
-118.189912167,33.9151148440001,33.91511,-118.1899,US-CA
-118.735222268,34.033184826,34.03318,-118.73521,US-CA
-121.435926491,41.008786279,41.008781,-121.435913,US-CA
-118.761712325,34.664474892,34.66479,-118.7622,US-CA
-117.973752148,34.13230488,34.1323,-117.97374,US-CA
-122.135722095,37.085302907,37.085298,-122.135709,US-CA
-118.124472211,34.5798249210001,34.57982,-118.12446,US-CA
-121.992113084,37.1843219250001,37.184317,-121.9921,US-CA
-118.352612196,33.933774837,33.93377,-118.3526,US-CA
-122.451941604,40.7160071710001,40.716002,-122.451928,US-CA
-118.616902287,34.5031448840001,34.50314,-118.61689,US-CA
-117.056198945,33.554922865,33.554918,-117.056187,US-CA
-117.482648039,34.33488995,34.33487,-117.4826,US-CA
-118.149392168,34.011724857,34.01172,-118.14938,US-CA
-118.204902177,34.0095448530001,34.00954,-118.20489,US-CA
-118.149812218,34.606964922,34.60696,-118.1498,US-CA
-117.952112145,34.133044881,34.13304,-117.9521,US-CA
-118.134452223,34.6949349330001,34.69477,-118.13441,US-CA
-116.248711818,33.739494931,33.74377,-116.2513,US-CA
-118.157912225,34.674924929,34.67492,-118.1579,US-CA
-118.147722184,34.214824879,34.21482,-118.14771,US-CA
-117.973042143,34.0678748730001,34.06787,-117.97303,US-CA
-118.209972171,33.9251148440001,33.92511,-118.20996,US-CA
-118.244322234,34.608284917,34.60828,-118.24431,US-CA
-119.645652733,37.3451591050001,37.345154,-119.64564,US-CA
-118.795712339,34.7546249000001,34.75462,-118.7957,US-CA
-117.995012345,36.2588451080001,36.25868,-117.994792,US-CA
-121.785496039,37.0620549290001,37.06205,-121.785483,US-CA
-118.167832168,33.9681048510001,33.9681,-118.16782,US-CA
-117.907592136,34.1207548830001,34.12075,-117.90758,US-CA
-118.357922194,33.896444832,33.89644,-118.35791,US-CA
-121.087603952,37.2418749940001,37.24187,-121.087591,US-CA
-118.367542197,33.9227248350001,33.92272,-118.36753,US-CA
-120.571432664,35.1845348360001,35.18453,-120.57142,US-CA
-118.081152204,34.580124923,34.58012,-118.08114,US-CA
-119.428048669,37.0786060950001,37.078601,-119.428036,US-CA
-118.073402166,34.1480248760001,34.14802,-118.07339,US-CA
-117.280823016,33.9618259000001,33.961821,-117.280811,US-CA
-117.933042125,33.9279548600001,33.92795,-117.93303,US-CA
